Position (mm);Force (N);Strain (%);Time (min)
0,00;0,00;-0,00167;0,00321
0,0271;3,33;0,00536;0,00872
0,0551;6,67;0,0124;0,0142
0,0826;10,0;0,0189;0,0197
0,110;13,3;0,0255;0,0253
0,138;15,0;0,0320;0,0308
0,165;18,3;0,0385;0,0363
0,192;20,0;0,0451;0,0418
0,220;23,3;0,0517;0,0473
0,248;26,4;0,0586;0,0528
0,275;28,3;0,0654;0,0583
0,303;31,7;0,0725;0,0639
0,331;35,0;0,0798;0,0694
0,358;38,3;0,0872;0,0749
0,386;40,0;0,0948;0,0804
0,414;43,3;0,103;0,0859
0,441;46,7;0,111;0,0914
0,469;50,0;0,119;0,0969
0,496;53,2;0,127;0,102
0,524;56,7;0,135;0,108
0,551;60,0;0,144;0,113
0,579;62,7;0,154;0,119
0,607;66,7;0,163;0,125
0,634;70,0;0,173;0,130
0,661;73,3;0,184;0,136
0,689;76,7;0,194;0,141
0,716;81,7;0,205;0,147
0,744;85,0;0,216;0,152
0,772;88,3;0,227;0,158
0,800;92,3;0,239;0,163
0,827;96,7;0,251;0,169
0,855;100;0,263;0,174
0,883;103;0,275;0,180
0,909;107;0,288;0,185
0,937;112;0,301;0,191
0,965;115;0,314;0,196
0,992;120;0,327;0,202
1,02;123;0,340;0,207
1,05;127;0,354;0,213
1,07;132;0,368;0,218
1,10;135;0,382;0,224
1,13;139;0,396;0,229
1,16;143;0,411;0,235
1,19;147;0,425;0,240
1,21;152;0,440;0,246
1,24;155;0,455;0,251
1,27;160;0,471;0,257
1,30;163;0,486;0,262
1,32;168;0,501;0,268
1,35;172;0,516;0,273
1,38;175;0,532;0,279
1,41;179;0,548;0,284
1,43;183;0,564;0,290
1,46;188;0,580;0,295
1,49;192;0,597;0,301
1,52;197;0,613;0,306
1,54;200;0,630;0,312
1,57;204;0,646;0,318
1,60;207;0,663;0,323
1,63;212;0,680;0,329
1,65;215;0,697;0,334
1,68;219;0,714;0,340
1,71;223;0,732;0,345
1,74;227;0,750;0,351
1,76;230;0,767;0,356
1,82;238;0,801;0,367
1,82;238;0,801;0,367
1,85;242;0,801;0,373
1,88;247;0,801;0,379
1,91;250;0,801;0,385
1,93;255;0,801;0,390
1,96;258;0,801;0,396
1,99;262;0,801;0,402
2,02;265;0,801;0,408
2,05;270;0,801;0,413
