Position (mm);Force (N);Strain (%);Time (min)
0,00;1,67;-0,000667;0,00258
0,0269;5,00;0,00647;0,00814
0,0552;8,33;0,0134;0,0137
0,0832;10,7;0,0197;0,0193
0,111;13,3;0,0259;0,0248
0,139;15,0;0,0320;0,0304
0,167;17,2;0,0381;0,0359
0,194;20,0;0,0444;0,0415
0,222;21,7;0,0506;0,0470
0,250;25,0;0,0572;0,0526
0,278;27,1;0,0638;0,0582
0,305;30,0;0,0707;0,0637
0,333;32,0;0,0780;0,0693
0,361;35,0;0,0857;0,0748
0,388;38,3;0,0936;0,0804
0,416;41,7;0,102;0,0860
0,444;45,0;0,110;0,0915
0,472;48,3;0,119;0,0971
0,500;50,1;0,128;0,103
0,527;53,5;0,138;0,108
0,556;58,3;0,148;0,114
0,583;61,7;0,158;0,119
0,611;65,0;0,168;0,125
0,639;68,3;0,179;0,130
0,667;71,7;0,190;0,136
0,694;75,0;0,201;0,142
0,723;80,0;0,213;0,147
0,751;83,3;0,224;0,153
0,778;88,3;0,235;0,158
0,806;91,7;0,247;0,164
0,834;95,0;0,260;0,169
0,862;100;0,273;0,175
0,889;103;0,286;0,180
0,917;107;0,299;0,186
0,944;112;0,312;0,192
0,972;115;0,326;0,197
1,00;119;0,340;0,203
1,03;123;0,354;0,208
1,06;127;0,368;0,214
1,08;132;0,382;0,219
1,11;135;0,396;0,225
1,14;140;0,411;0,230
1,17;143;0,425;0,236
1,19;147;0,440;0,242
1,22;152;0,455;0,247
1,25;155;0,470;0,253
1,28;160;0,485;0,258
1,31;163;0,501;0,264
1,33;168;0,516;0,269
1,36;172;0,532;0,275
1,39;175;0,548;0,281
1,42;180;0,564;0,286
1,45;183;0,580;0,292
1,47;188;0,597;0,297
1,50;192;0,613;0,303
1,53;195;0,630;0,308
1,56;200;0,646;0,314
1,58;203;0,663;0,319
1,61;208;0,680;0,325
1,64;212;0,697;0,331
1,67;215;0,714;0,336
1,69;220;0,732;0,342
1,72;223;0,749;0,347
1,75;227;0,767;0,353
1,81;237;0,802;0,364
1,81;237;0,802;0,364
1,83;240;0,802;0,370
1,86;243;0,802;0,375
1,89;248;0,802;0,381
1,92;250;0,802;0,386
1,95;255;0,802;0,392
1,98;258;0,802;0,398
2,00;262;0,802;0,403
2,03;267;0,802;0,409
2,06;270;0,802;0,415
2,09;273;0,802;0,420
2,12;277;0,802;0,426
2,14;280;0,802;0,432
2,17;283;0,802;0,437
2,20;287;0,802;0,443
2,23;290;0,802;0,449
2,26;293;0,802;0,454
2,29;298;0,802;0,460
2,31;302;0,802;0,466
2,34;305;0,802;0,471
2,37;308;0,802;0,477
2,40;312;0,802;0,482
2,43;315;0,802;0,488
2,46;318;0,802;0,494
